<<<<<<< HEAD
pno,hno
1,1
2,2
3,3
1,4
2,5
3,6
1,7
2,8
3,9
4,10
5,11
6,12
4,13
5,14
6,15
4,16
5,17
6,18
7,19
8,20
9,21
7,22
8,23
9,24
7,25
8,26
9,27
10,28
11,29
12,30
10,31
11,32
12,33
10,34
11,35
12,36
13,37
14,38
15,39
13,40
14,41
15,42
13,43
14,44
15,45
16,46
17,47
18,48
16,49
17,50
18,51
16,52
17,53
18,54
19,55
20,56
21,57
19,58
20,59
21,60
19,61
20,62
21,63
22,64
23,65
24,66
22,67
23,68
24,69
22,70
23,71
24,72
25,73
26,74
27,75
25,76
26,77
27,78
25,79
26,80
27,81
28,82
29,83
30,84
28,85
29,86
30,87
28,88
29,89
30,90
31,91
32,92
33,93
31,94
32,95
33,96
31,97
32,98
33,99
34,100
35,101
36,102
34,103
35,104
36,105
34,106
35,107
36,108
37,109
38,110
39,111
37,112
38,113
39,114
37,115
38,116
39,117
40,118
41,119
42,120
40,121
41,122
42,123
40,124
41,125
42,126
43,127
44,128
45,129
43,130
44,131
45,132
43,133
44,134
45,135
46,136
47,137
48,138
46,139
47,140
48,141
46,142
47,143
48,144
49,145
50,146
51,147
49,148
50,149
51,150
49,151
50,152
51,153
52,154
53,155
54,156
52,157
53,158
54,159
52,160
53,161
54,162
55,163
56,164
57,165
55,166
56,167
57,168
55,169
56,170
57,171
58,172
59,173
60,174
58,175
59,176
60,177
58,178
59,179
60,180
61,181
62,182
63,183
61,184
62,185
63,186
61,187
62,188
63,189
64,190
65,191
66,192
64,193
65,194
66,195
64,196
65,197
66,198
67,199
68,200
69,201
67,202
68,203
69,204
67,205
68,206
69,207
70,208
71,209
72,210
70,211
71,212
72,213
70,214
71,215
72,216
73,217
74,218
75,219
73,220
74,221
75,222
73,223
74,224
75,225
76,226
77,227
78,228
76,229
77,230
78,231
76,232
77,233
78,234
79,235
80,236
81,237
79,238
80,239
81,240
79,241
80,242
81,243
82,244
83,245
84,246
82,247
83,248
84,249
82,250
83,251
84,252
85,253
86,254
87,255
85,256
86,257
87,258
85,259
86,260
87,261
88,262
89,263
90,264
88,265
89,266
90,267
88,268
89,269
90,270
=======
"pno","hno"
1,541
2,542
3,543
1,544
2,545
3,546
1,547
2,548
3,549
4,550
5,551
6,552
4,553
5,554
6,555
4,556
5,557
6,558
7,559
8,560
9,561
7,562
8,563
9,564
7,565
8,566
9,567
10,568
11,569
12,570
10,571
11,572
12,573
10,574
11,575
12,576
13,577
14,578
15,579
13,580
14,581
15,582
13,583
14,584
15,585
16,586
17,587
18,588
16,589
17,590
18,591
16,592
17,593
18,594
19,595
20,596
21,597
19,598
20,599
21,600
19,601
20,602
21,603
22,604
23,605
24,606
22,607
23,608
24,609
22,610
23,611
24,612
25,613
26,614
27,615
25,616
26,617
27,618
25,619
26,620
27,621
28,622
29,623
30,624
28,625
29,626
30,627
28,628
29,629
30,630
31,631
32,632
33,633
31,634
32,635
33,636
31,637
32,638
33,639
34,640
35,641
36,642
34,643
35,644
36,645
34,646
35,647
36,648
37,649
38,650
39,651
37,652
38,653
39,654
37,655
38,656
39,657
40,658
41,659
42,660
40,661
41,662
42,663
40,664
41,665
42,666
43,667
44,668
45,669
43,670
44,671
45,672
43,673
44,674
45,675
46,676
47,677
48,678
46,679
47,680
48,681
46,682
47,683
48,684
49,685
50,686
51,687
49,688
50,689
51,690
49,691
50,692
51,693
52,694
53,695
54,696
52,697
53,698
54,699
52,700
53,701
54,702
55,703
56,704
57,705
55,706
56,707
57,708
55,709
56,710
57,711
58,712
59,713
60,714
58,715
59,716
60,717
58,718
59,719
60,720
61,721
62,722
63,723
61,724
62,725
63,726
61,727
62,728
63,729
64,730
65,731
66,732
64,733
65,734
66,735
64,736
65,737
66,738
67,739
68,740
69,741
67,742
68,743
69,744
67,745
68,746
69,747
70,748
71,749
72,750
70,751
71,752
72,753
70,754
71,755
72,756
73,757
74,758
75,759
73,760
74,761
75,762
73,763
74,764
75,765
76,766
77,767
78,768
76,769
77,770
78,771
76,772
77,773
78,774
79,775
80,776
81,777
79,778
80,779
81,780
79,781
80,782
81,783
82,784
83,785
84,786
82,787
83,788
84,789
82,790
83,791
84,792
85,793
86,794
87,795
85,796
86,797
87,798
85,799
86,800
87,801
88,802
89,803
90,804
88,805
89,806
90,807
88,808
89,809
90,810
>>>>>>> branch 'master' of https://github.com/dlstjs8246/tourland.git
