"pno","pname","pcontent","pexpire","pprice","ppic","pdiv"
1,[베이징 3일]시크릿 특가!만리장성/자금성/이화원_바로 출발,"<p>&nbsp;</p>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>&nbsp;중국 최고의 건축물이자,&nbsp;세계 문화유산인&nbsp;만리장성</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/manri.jpg"" style=""height:387px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>&nbsp;중국에서 가장 보존이 잘되어 있는 정원공원이자 서태후의 여름 별장&nbsp;이화원</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ehwawon.png"" style=""height:540px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<h3><strong>유네스코 지정 세계 문화유산으로 지정된 중국의 황실 궁전&nbsp;자금성</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jaguem.png"" style=""height:532px; width:800px"" /></p>
","2020-03-29",12700000,/2020/05/13/022da337-e7ac-4aa1-89cb-5544acac6872_manri2.jpg,0
2,[베이징 5일]시크릿 특가!만리장성/자금성/천단/명십왕릉_바로 출발,"<p>&nbsp;</p>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>유네스코 지정 세계 문화유산으로 지정된 중국의 황실 궁전 자금성</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jaguem.png"" style=""height:532px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>중국 최고의 건축물이자,&nbsp;세계 문화유산인&nbsp;만리장성</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/manri.jpg"" style=""height:387px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>옛 황제들이 신을 향해 제사를 드렸던 곳, 유네스코 문화유산 지정!, 천단 공원</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chundan.jpg"" style=""height:525px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>명나라, 청나라 최대의 왕릉, 명십 왕릉</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/myungship.jpg"" style=""height:533px; width:800px"" /></p>

<p>&nbsp;</p>
","2020-03-29",193030000,/2020/05/13/e9bcc04b-f5d0-4d75-b437-fea3528e0bff_chundan.jpg,0
3,"[베이징 7일]시크릿 특가!국가박물관,일단공원,798예술구_예술특집_바로 출발!","<h3>&nbsp;</h3>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3>중국에서 가장 보존이 잘되어 있는 정원공원이자 서태후의 여름 별장 이화원</h3>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ehwawon.png"" style=""height:540px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3><strong>&nbsp;중국 첫 현대 국립 박물관, 국가 박물관</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/national.jpg"" style=""height:533px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3><strong>중국 도심 속 자연 공원, 일단 공원</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ildanPark.jpg"" style=""height:533px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3><strong>옛 황제들이 신을 향해 제사를 드렸던 곳, 유네스코 문화유산 지정!, 천단 공원</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chundan.jpg"" style=""height:525px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>중국의 신예 예술가들의 혼이 깃들어 있는 베이징의 소호 거리 798예술구</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/789.jpg"" style=""height:599px; width:800px"" /></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-03-29",314990000,/2020/05/13/45161de5-a36f-4c73-8d13-a9b371fad24a_789.jpg,0
4,[베이징 3일]시크릿 특가!천안문/명십왕릉/원명원_대륙특집_바로 출발,"<h3>&nbsp;</h3>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3><strong>중국의 상징이자 랜드마크인 중화 민주화 운동의 상징&nbsp;천안문광장</strong></h3>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chunanmoon.jpg"" style=""height:503px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3><strong>중국 고대 황제들과 영웅들이 잠들어 있는 곳, 명십 왕릉</strong></h3>

<p><br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/myungship.jpg"" style=""height:533px; width:800px"" /></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<h3><strong>청나라 시대의 이궁, 원명원</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/wonmyung.jpg"" style=""height:533px; width:800px"" /></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-03-30",59900000,/2020/05/13/049f036a-4ce5-4934-a2ee-1bc9bc852837_wonmyung.jpg,0
5,[베이징 5일]시크릿 특가!베이하이/장산공원/베이징동물원/오페라극장_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>10세기에 지어진 황실의 정원, 베이하이 공원</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beyhi.jpg"" style=""height:478px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<h3><strong>옛 원나라 황궁의 위엄, 징산 공원&nbsp;</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/zingsan.jpg"" style=""height:533px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>매년 6백만명 이상의 관광이 찾는 베이징 동물원</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/beijing.jpg"" style=""height:533px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>샤를 드골 공항 설계자가 건축한 북경 오페라 하우스</strong></h3>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/opera.jpg"" style=""height:531px; width:800px"" /></strong></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-03-30",192730000,/2020/05/13/54df718a-0dfa-4ea3-ab92-734ae95ffef9_beijing.jpg,0
6,[베이징 7일]시크릿 특가!옹화궁/고루종루/정양문/거용관/스차하이/공왕부_왕궁특집_바로 출발!,"<p>&nbsp;</p>

<p>&nbsp;</p>

<h3>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</h3>

<h3><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></h3>

<h3>&nbsp;</h3>

<h3><strong>사원, 불교, 대왕 판다, 수도원 및 건축, 옹화궁</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/yongwha.jpg"" style=""height:533px; width:800px"" /></p>

<p>&nbsp;</p>

<p>시간을 알리기 위해 사용된 곳, 고루와 종루</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/goru.jpg"" style=""height:444px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>중국의 명승고적, 정양문&nbsp;</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/jyungyang.jpg"" style=""height:572px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>만리장성에 설치된 관문이자 요새, 거용관</strong></h3>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/geoyong.jpg"" style=""height:417px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>베이징의 역사적 장소, 스차하이</strong></h3>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chahai.jpg"" style=""height:602px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><br />
<strong>청나라 공칭왕부, 공왕부</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/gongwangbu.jpg"" style=""height:602px; width:800px"" /></p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","2020-03-30",314800000,/2020/05/13/5a9a0267-8946-4a13-a5ad-c7ee5cf846a5_goru.jpg,0
7,[베이징 3일]시크릿 특가!세계공원/환러구놀이공원_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></p>

<p>&nbsp;</p>

<h3><strong>공원 및 사적, 베이징 세계공원</strong></h3>

<h3>&nbsp;</h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/saekyaepark.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>놀이공원, 롤러코스터, 베이징 환러구</strong></h3>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/hwanreohu.png"" style=""height:533px; width:800px"" /></p>
","2020-03-31",60250000,/2020/05/13/b3bf438a-f990-4a9a-b90d-cbc2b77f9ce2_saekyaepark.jpg,0
8,[베이징 5일]시크릿 특가!태묘/루거우차오/인민대회당/수도박물관_바로 출발,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3>&nbsp;</h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>건축, 사원, 미술관, 예술 및 역사, 태묘<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/teamyo.jpg"" style=""height:600px; width:800px"" /></strong></h3>

<h3><strong>역사 및 강, 루거우차오<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/lugeouchao.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>건축, 음악회, 박물관 및 연극, 인민대회당</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/inmin.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>대형 박물관, 수도 박물관&nbsp;</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/sudo.jpg"" style=""height:514px; width:800px"" /></strong></h3>

<p>&nbsp;</p>
","2020-03-31",47067000,/2020/05/13/fe369334-40f1-4c0d-8030-40669c3a3c04_sudo.jpg,0
9,[베이징 7일]시크릿 특가!_베이징식물원/골동품시장/올림픽공원/호우하이/일단공원/천안문광장_바로 출발!,"<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3>&nbsp;</h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>식물원에 가고 싶다면, 베이징 식물원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/botanical.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><br />
<strong>중국 골동품은 어디? 판자위엔 골동품 시장<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/panzawuen.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3><strong>베이징 올림픽을 느끼고 싶다면, 베이징 올림픽 공원</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/olympic.jpg"" style=""height:490px; width:800px"" /></strong></h3>

<h3><strong>아이스 스케이팅, 공원 및 밤문화, 호우하이</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/houhai.jpg"" style=""height:512px; width:800px"" /></strong></h3>

<h3><strong>베이징 도심 속 산책, 일단 공원<br />
<img alt="""" src=""http://localhost:8080/tourland/resources/images/china/ildanPark.jpg"" style=""height:533px; width:800px"" /></strong></h3>

<h3><strong>거대하고 유명한 광장 및 문화적 공간, 천안문 광장</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/chunanmoon.jpg"" style=""height:503px; width:800px"" /></strong></h3>

<p>&nbsp;</p>
","2020-03-31",314660000,/2020/05/13/f22783fb-84cb-49b0-a484-4629d8c5bee7_olympic.jpg,0
10,[베이징 3일]시크릿 특가!세계공원/인민대회당_바로 출발,"<p>&nbsp;</p>

<h3><strong>여행 전 기간 5성급 호텔 Happy Dragon 숙박!</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/happyDragon.jpg"" style=""height:480px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3><strong>공원 및 사적, 베이징 세계공원</strong></h3>

<h3><br />
<strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/saekyaepark.jpg"" style=""height:534px; width:800px"" /></strong></h3>

<h3>&nbsp;</h3>

<h3>&nbsp;</h3>

<h3><strong>건축, 음악회, 박물관 및 연극, 인민대회당</strong></h3>

<h3><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/china/inmin.jpg"" style=""height:533px; width:800px"" /></strong></h3>
","2020-04-01",59980000,/2020/05/14/f46264da-3044-4d8f-aa4f-995d805410a1_inmin.jpg,0
